NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
KOTMAH,"1,592.00","1,583.75","1,586.00","1,594.40","1,586.00","1,583.75",8.25,+0.52,812,09:18:07.000,"1,682.40","1,099.00",2019-10-15 09:17:49,2019-10-15,09,17
LARTOU,"1,428.50","1,422.65","1,427.00","1,430.30","1,425.00","1,422.65",5.85,+0.41,"1,077",09:18:08.000,"1,606.70","1,183.40",2019-10-15 09:17:49,2019-10-15,09,17
HINLEV,"2,034.85","2,014.70","2,052.00","2,052.00","2,031.75","2,014.70",20.15,+1.00,"10,292",09:18:11.000,"2,101.50","1,500.40",2019-10-15 09:17:49,2019-10-15,09,17
AXIBAN,685.00,683.55,683.65,685.00,681.80,683.55,1.45,+0.21,"6,096",09:18:12.000,826.55,534.15,2019-10-15 09:17:49,2019-10-15,09,17
STABAN,256.95,255.45,256.80,257.05,256.05,255.45,1.50,+0.59,"26,249",09:18:13.000,373.70,244.35,2019-10-15 09:17:49,2019-10-15,09,17
BAJFI,"3,907.00","3,881.65","3,909.00","3,911.20","3,880.00","3,881.65",25.35,+0.65,"1,509",09:18:16.000,"4,112.00","2,000.80",2019-10-15 09:17:49,2019-10-15,09,17
MARUTI,"6,838.10","6,819.55","6,829.00","6,843.00","6,810.00","6,819.55",18.55,+0.27,"1,325",09:18:18.000,"7,929.00","5,447.00",2019-10-15 09:17:49,2019-10-15,09,17
INDBA,"1,255.85","1,250.50","1,251.55","1,261.10","1,251.55","1,250.50",5.35,+0.43,"2,735",09:18:19.000,"1,835.00","1,192.00",2019-10-15 09:17:49,2019-10-15,09,17
ASIPAI,"1,807.00","1,797.65","1,797.00","1,807.00","1,797.00","1,797.65",9.35,+0.52,822,09:18:22.000,"1,819.55","1,119.60",2019-10-15 09:17:49,2019-10-15,09,17
BHAAIR,388.55,393.50,391.95,391.95,388.30,393.50,-4.95,-1.26,"3,995",09:18:23.000,396.55,264.41,2019-10-15 09:17:49,2019-10-15,09,17
HCLTEC,"1,086.70","1,087.05","1,088.60","1,088.60","1,081.05","1,087.05",-0.35,-0.03,"2,283",09:18:24.000,"1,190.00",920.15,2019-10-15 09:17:49,2019-10-15,09,17
TITIND,"1,254.95","1,249.05","1,251.00","1,256.30","1,251.00","1,249.05",5.90,+0.47,388,09:18:26.000,"1,345.55",766.65,2019-10-15 09:17:49,2019-10-15,09,17
MAHMAH,568.00,568.50,570.00,570.00,566.65,568.50,-0.50,-0.09,"2,193",09:18:26.000,814.00,502.85,2019-10-15 09:17:49,2019-10-15,09,17
BAFINS,"8,093.60","8,073.45","8,108.95","8,108.95","8,084.50","8,073.45",20.15,+0.25,136,09:18:28.000,"8,668.65","4,960.00",2019-10-15 09:17:49,2019-10-15,09,17
NTPC,117.95,117.80,117.70,118.00,117.35,117.80,0.15,+0.13,"2,479",09:18:28.000,145.85,106.71,2019-10-15 09:17:49,2019-10-15,09,17
NESIND,"14,085.95","14,174.10","14,175.00","14,175.00","14,085.95","14,174.10",-88.15,-0.62,25,09:18:31.000,"14,300.00","9,205.00",2019-10-15 09:17:49,2019-10-15,09,17
POWGRI,198.75,198.45,198.80,199.20,198.45,198.45,0.30,+0.15,"1,822",09:18:31.000,216.20,173.05,2019-10-15 09:17:49,2019-10-15,09,17
ULTCEM,"4,183.70","4,171.90","4,121.35","4,189.50","4,121.35","4,171.90",11.80,+0.28,144,09:18:33.000,"4,903.90","3,263.70",2019-10-15 09:17:49,2019-10-15,09,17
TECMAH,727.10,720.60,721.00,727.10,721.00,720.60,6.50,+0.90,725,09:18:33.000,846.00,607.90,2019-10-15 09:17:49,2019-10-15,09,17
SUNPHA,397.00,394.60,397.25,398.25,395.25,394.60,2.40,+0.61,"11,025",09:18:36.000,616.50,350.40,2019-10-15 09:17:49,2019-10-15,09,17
ONGC,137.55,135.20,136.60,138.00,136.60,135.20,2.35,+1.74,"32,859",09:18:38.000,178.95,115.55,2019-10-15 09:17:49,2019-10-15,09,17
BAAUTO,"2,966.25","2,956.05","2,959.00","2,972.00","2,956.50","2,956.05",10.20,+0.35,114,09:18:40.000,"3,145.55","2,400.00",2019-10-15 09:17:49,2019-10-15,09,17
BHARAS,NA,"5,767.35",NA,NA,NA,"5,767.35",NA,NA,NA,09:17:36.000,"6,539.00","3,352.10",2019-10-15 09:17:49,2019-10-15,09,17
INDOIL,146.30,144.80,145.95,146.95,145.20,144.80,1.50,+1.04,"11,137",09:18:45.000,170.40,116.10,2019-10-15 09:17:49,2019-10-15,09,17
COALIN,188.60,190.10,188.30,190.60,188.30,190.10,-1.50,-0.79,"15,500",09:18:46.000,288.30,177.80,2019-10-15 09:17:49,2019-10-15,09,17
WIPRO,244.95,243.35,244.00,245.50,244.00,243.35,1.60,+0.66,"17,311",09:18:49.000,301.55,220.50,2019-10-15 09:17:49,2019-10-15,09,17
HERHON,"2,617.20","2,609.25","2,616.85","2,624.00","2,615.00","2,609.25",7.95,+0.30,281,09:18:51.000,"3,382.70","2,228.25",2019-10-15 09:17:49,2019-10-15,09,17
BRIIND,"3,126.70","3,107.20","3,139.90","3,146.00","3,125.65","3,107.20",19.50,+0.63,"1,053",09:18:54.000,"3,443.90","2,302.00",2019-10-15 09:17:49,2019-10-15,09,17
UNIP,583.50,586.95,585.30,585.30,580.95,586.95,-3.45,-0.59,"4,913",09:18:54.000,709.25,390.53,2019-10-15 09:17:49,2019-10-15,09,17
DRREDD,"2,662.20","2,648.90","2,663.10","2,663.10","2,659.85","2,648.90",13.30,+0.50,51,09:18:55.000,"2,965.20","2,065.30",2019-10-15 09:17:49,2019-10-15,09,17
ADAPOR,409.50,406.95,409.50,410.00,407.60,406.95,2.55,+0.63,"1,802",09:18:54.000,430.00,293.95,2019-10-15 09:17:49,2019-10-15,09,17
GRASIM,696.75,698.65,699.00,699.00,693.75,698.65,-1.90,-0.27,"1,716",09:19:00.000,958.55,635.60,2019-10-15 09:17:49,2019-10-15,09,17
VEDLIM,146.60,147.85,147.50,147.50,146.10,147.85,-1.25,-0.85,"9,535",09:19:03.000,228.00,125.70,2019-10-15 09:17:49,2019-10-15,09,17
HINDAL,186.75,188.80,188.00,188.00,186.75,188.80,-2.05,-1.09,"6,727",09:19:05.000,246.00,171.25,2019-10-15 09:17:49,2019-10-15,09,17
TATSTE,343.60,344.85,345.50,346.15,342.20,344.85,-1.25,-0.36,"27,320",09:19:08.000,610.00,320.30,2019-10-15 09:17:49,2019-10-15,09,17
EICMOT,"18,403.15","18,311.25","18,370.00","18,439.90","18,270.00","18,311.25",91.90,+0.50,89,09:19:09.000,"25,300.00","15,196.95",2019-10-15 09:17:49,2019-10-15,09,17
GAIL,125.90,125.85,126.50,126.85,125.90,125.85,0.05,+0.04,"3,056",09:19:05.000,190.98,119.65,2019-10-15 09:17:49,2019-10-15,09,17
JSWSTE,220.20,221.50,221.05,221.05,219.35,221.50,-1.30,-0.59,"4,399",09:19:13.000,384.90,201.90,2019-10-15 09:17:49,2019-10-15,09,17
BHAINF,256.30,259.25,258.25,258.25,256.00,259.25,-2.95,-1.14,224,09:19:16.000,333.80,238.70,2019-10-15 09:17:49,2019-10-15,09,17
CIPLA,436.80,440.85,444.00,444.00,436.00,440.85,-4.05,-0.92,"2,461",09:19:18.000,651.95,389.55,2019-10-15 09:17:49,2019-10-15,09,17
TATMOT,126.35,127.80,127.50,127.50,125.85,127.80,-1.45,-1.13,"122,518",09:19:21.000,239.30,106.00,2019-10-15 09:17:49,2019-10-15,09,17
ZEEENT,240.50,242.55,237.95,241.25,236.30,242.55,-2.05,-0.85,"17,916",09:19:22.000,506.10,203.70,2019-10-15 09:17:49,2019-10-15,09,17
YESBAN,40.90,40.00,41.00,41.40,40.70,40.00,0.90,+2.25,"380,603",09:19:25.000,285.90,29.05,2019-10-15 09:17:49,2019-10-15,09,17
BSESEN,"38,327.33","38,214.47","38,316.49","38,351.48","38,238.27","38,214.47",112.86,+0.30,NA,09:19:26.460,NA,NA,2019-10-15 09:19:26,2019-10-15,09,19
HDFBAN,"1,212.30","1,203.15","1,210.00","1,213.25","1,207.80","1,203.15",9.15,+0.76,"2,819",09:19:28.000,"1,285.00",942.20,2019-10-15 09:19:26,2019-10-15,09,19
RELPET,131.50,130.85,129.00,132.40,127.90,130.85,0.65,+0.50,"2,225,733",15:30:03.000,152.95,68.10,2019-10-15 09:19:26,2019-10-15,09,19
HDFC,"2,026.55","2,011.50","2,013.00","2,027.00","2,013.00","2,011.50",15.05,+0.75,594,09:19:31.000,"2,357.00","1,646.00",2019-10-15 09:19:26,2019-10-15,09,19
INFTEC,771.60,785.65,773.80,774.75,767.25,785.65,-14.05,-1.79,"42,669",09:19:32.000,847.40,600.65,2019-10-15 09:19:26,2019-10-15,09,19
ICIBAN,430.50,428.60,430.00,431.80,428.00,428.60,1.90,+0.44,"11,539",09:19:34.000,458.45,309.60,2019-10-15 09:19:26,2019-10-15,09,19
ITC,245.80,244.20,247.40,247.40,245.10,244.20,1.60,+0.66,"10,867",09:19:36.000,310.00,234.10,2019-10-15 09:19:26,2019-10-15,09,19
TCS,"2,044.95","2,020.95","2,028.80","2,045.00","2,024.20","2,020.95",24.00,+1.19,"4,177",09:19:38.000,"2,296.00","1,784.00",2019-10-15 09:19:26,2019-10-15,09,19
KOTMAH,"1,592.00","1,583.75","1,586.00","1,594.40","1,586.00","1,583.75",8.25,+0.52,938,09:19:39.000,"1,682.40","1,099.00",2019-10-15 09:19:26,2019-10-15,09,19
LARTOU,"1,426.85","1,422.65","1,427.00","1,430.30","1,425.00","1,422.65",4.20,+0.30,"1,695",09:19:42.000,"1,606.70","1,183.40",2019-10-15 09:19:26,2019-10-15,09,19
HINLEV,"2,031.00","2,014.70","2,052.00","2,052.00","2,028.10","2,014.70",16.30,+0.81,"11,920",09:19:45.000,"2,101.50","1,500.40",2019-10-15 09:19:26,2019-10-15,09,19
AXIBAN,687.00,683.55,683.65,687.75,681.80,683.55,3.45,+0.50,"7,754",09:19:46.000,826.55,534.15,2019-10-15 09:19:26,2019-10-15,09,19
STABAN,256.75,255.45,256.80,257.20,256.05,255.45,1.30,+0.51,"37,178",09:19:49.000,373.70,244.35,2019-10-15 09:19:26,2019-10-15,09,19
BAJFI,"3,904.80","3,881.65","3,909.00","3,911.20","3,880.00","3,881.65",23.15,+0.60,"1,574",09:19:50.000,"4,112.00","2,000.80",2019-10-15 09:19:26,2019-10-15,09,19
MARUTI,"6,835.05","6,819.55","6,829.00","6,844.95","6,810.00","6,819.55",15.50,+0.23,"1,673",09:19:52.000,"7,929.00","5,447.00",2019-10-15 09:19:26,2019-10-15,09,19
INDBA,"1,252.05","1,250.50","1,251.55","1,261.10","1,251.55","1,250.50",1.55,+0.12,"5,411",09:19:55.000,"1,835.00","1,192.00",2019-10-15 09:19:26,2019-10-15,09,19
ASIPAI,"1,806.00","1,797.65","1,797.00","1,807.00","1,797.00","1,797.65",8.35,+0.46,"1,019",09:19:57.000,"1,819.55","1,119.60",2019-10-15 09:19:26,2019-10-15,09,19
BHAAIR,389.50,393.50,391.95,391.95,388.30,393.50,-4.00,-1.02,"4,726",09:19:58.000,396.55,264.41,2019-10-15 09:19:26,2019-10-15,09,19
HCLTEC,"1,090.30","1,087.05","1,088.60","1,091.00","1,081.05","1,087.05",3.25,+0.30,"2,519",09:20:01.000,"1,190.00",920.15,2019-10-15 09:19:26,2019-10-15,09,19
TITIND,"1,256.00","1,249.05","1,251.00","1,256.45","1,251.00","1,249.05",6.95,+0.56,675,09:20:04.000,"1,345.55",766.65,2019-10-15 09:19:26,2019-10-15,09,19
MAHMAH,570.00,568.50,570.00,570.00,566.65,568.50,1.50,+0.26,"2,618",09:20:06.000,814.00,502.85,2019-10-15 09:19:26,2019-10-15,09,19
BAFINS,"8,129.95","8,073.45","8,108.95","8,129.95","8,084.50","8,073.45",56.50,+0.70,226,09:20:08.000,"8,668.65","4,960.00",2019-10-15 09:19:26,2019-10-15,09,19
NTPC,117.50,117.80,117.70,118.00,117.35,117.80,-0.30,-0.25,"3,436",09:20:10.000,145.85,106.71,2019-10-15 09:19:26,2019-10-15,09,19
NESIND,"14,108.45","14,174.10","14,175.00","14,175.00","14,085.95","14,174.10",-65.65,-0.46,26,09:20:11.000,"14,300.00","9,205.00",2019-10-15 09:19:26,2019-10-15,09,19
POWGRI,198.60,198.45,198.80,199.20,198.45,198.45,0.15,+0.08,"2,262",09:20:14.000,216.20,173.05,2019-10-15 09:19:26,2019-10-15,09,19
ULTCEM,"4,194.00","4,171.90","4,121.35","4,195.00","4,121.35","4,171.90",22.10,+0.53,165,09:20:16.000,"4,903.90","3,263.70",2019-10-15 09:19:26,2019-10-15,09,19
TECMAH,725.45,720.60,721.00,727.50,721.00,720.60,4.85,+0.67,"1,913",09:20:17.000,846.00,607.90,2019-10-15 09:19:26,2019-10-15,09,19
