NAME,LTP,DC,DO,DH,DL,PDC,CH,PCH,DV,LTT,WH52,WL52,DATE_TIME,DATE_TODAY,HOUR,MIN
BAJFI,3907.00,3881.65,3909.00,3911.20,3880.00,3881.65,25.35,+0.65,1509,09:18:16.000,4112.00,2000.80,2019-10-15 09:17:49,2019-10-15,09,17
MARUTI,6838.10,6819.55,6829.00,6843.00,6810.00,6819.55,18.55,+0.27,1325,09:18:18.000,7929.00,5447.00,2019-10-15 09:17:49,2019-10-15,09,17
INDBA,1255.85,1250.50,1251.55,1261.10,1251.55,1250.50,5.35,+0.43,2735,09:18:19.000,1835.00,1192.00,2019-10-15 09:17:49,2019-10-15,09,17
ASIPAI,1807.00,1797.65,1797.00,1807.00,1797.00,1797.65,9.35,+0.52,822,09:18:22.000,1819.55,1119.60,2019-10-15 09:17:49,2019-10-15,09,17
BHAAIR,388.55,393.50,391.95,391.95,388.30,393.50,-4.95,-1.26,3995,09:18:23.000,396.55,264.41,2019-10-15 09:17:49,2019-10-15,09,17
HCLTEC,1086.70,1087.05,1088.60,1088.60,1081.05,1087.05,-0.35,-0.03,2283,09:18:24.000,1190.00,920.15,2019-10-15 09:17:49,2019-10-15,09,17
TITIND,1254.95,1249.05,1251.00,1256.30,1251.00,1249.05,5.90,+0.47,388,09:18:26.000,1345.55,766.65,2019-10-15 09:17:49,2019-10-15,09,17
MAHMAH,568.00,568.50,570.00,570.00,566.65,568.50,-0.50,-0.09,2193,09:18:26.000,814.00,502.85,2019-10-15 09:17:49,2019-10-15,09,17
BAFINS,8093.60,8073.45,8108.95,8108.95,8084.50,8073.45,20.15,+0.25,136,09:18:28.000,8668.65,4960.00,2019-10-15 09:17:49,2019-10-15,09,17
NTPC,117.95,117.80,117.70,118.00,117.35,117.80,0.15,+0.13,2479,09:18:28.000,145.85,106.71,2019-10-15 09:17:49,2019-10-15,09,17
NESIND,14085.95,14174.10,14175.00,14175.00,14085.95,14174.10,-88.15,-0.62,25,09:18:31.000,14300.00,9205.00,2019-10-15 09:17:49,2019-10-15,09,17
POWGRI,198.75,198.45,198.80,199.20,198.45,198.45,0.30,+0.15,1822,09:18:31.000,216.20,173.05,2019-10-15 09:17:49,2019-10-15,09,17
ULTCEM,4183.70,4171.90,4121.35,4189.50,4121.35,4171.90,11.80,+0.28,144,09:18:33.000,4903.90,3263.70,2019-10-15 09:17:49,2019-10-15,09,17
TECMAH,727.10,720.60,721.00,727.10,721.00,720.60,6.50,+0.90,725,09:18:33.000,846.00,607.90,2019-10-15 09:17:49,2019-10-15,09,17
SUNPHA,397.00,394.60,397.25,398.25,395.25,394.60,2.40,+0.61,11025,09:18:36.000,616.50,350.40,2019-10-15 09:17:49,2019-10-15,09,17
ONGC,137.55,135.20,136.60,138.00,136.60,135.20,2.35,+1.74,32859,09:18:38.000,178.95,115.55,2019-10-15 09:17:49,2019-10-15,09,17
BAAUTO,2966.25,2956.05,2959.00,2972.00,2956.50,2956.05,10.20,+0.35,114,09:18:40.000,3145.55,2400.00,2019-10-15 09:17:49,2019-10-15,09,17
BHARAS,NA,5767.35,NA,NA,NA,5767.35,NA,NA,NA,09:17:36.000,6539.00,3352.10,2019-10-15 09:17:49,2019-10-15,09,17
INDOIL,146.30,144.80,145.95,146.95,145.20,144.80,1.50,+1.04,11137,09:18:45.000,170.40,116.10,2019-10-15 09:17:49,2019-10-15,09,17
COALIN,188.60,190.10,188.30,190.60,188.30,190.10,-1.50,-0.79,15500,09:18:46.000,288.30,177.80,2019-10-15 09:17:49,2019-10-15,09,17
WIPRO,244.95,243.35,244.00,245.50,244.00,243.35,1.60,+0.66,17311,09:18:49.000,301.55,220.50,2019-10-15 09:17:49,2019-10-15,09,17
HERHON,2617.20,2609.25,2616.85,2624.00,2615.00,2609.25,7.95,+0.30,281,09:18:51.000,3382.70,2228.25,2019-10-15 09:17:49,2019-10-15,09,17
BRIIND,3126.70,3107.20,3139.90,3146.00,3125.65,3107.20,19.50,+0.63,1053,09:18:54.000,3443.90,2302.00,2019-10-15 09:17:49,2019-10-15,09,17
UNIP,583.50,586.95,585.30,585.30,580.95,586.95,-3.45,-0.59,4913,09:18:54.000,709.25,390.53,2019-10-15 09:17:49,2019-10-15,09,17
DRREDD,2662.20,2648.90,2663.10,2663.10,2659.85,2648.90,13.30,+0.50,51,09:18:55.000,2965.20,2065.30,2019-10-15 09:17:49,2019-10-15,09,17
ADAPOR,409.50,406.95,409.50,410.00,407.60,406.95,2.55,+0.63,1802,09:18:54.000,430.00,293.95,2019-10-15 09:17:49,2019-10-15,09,17
GRASIM,696.75,698.65,699.00,699.00,693.75,698.65,-1.90,-0.27,1716,09:19:00.000,958.55,635.60,2019-10-15 09:17:49,2019-10-15,09,17
VEDLIM,146.60,147.85,147.50,147.50,146.10,147.85,-1.25,-0.85,9535,09:19:03.000,228.00,125.70,2019-10-15 09:17:49,2019-10-15,09,17
HINDAL,186.75,188.80,188.00,188.00,186.75,188.80,-2.05,-1.09,6727,09:19:05.000,246.00,171.25,2019-10-15 09:17:49,2019-10-15,09,17
TATSTE,343.60,344.85,345.50,346.15,342.20,344.85,-1.25,-0.36,27320,09:19:08.000,610.00,320.30,2019-10-15 09:17:49,2019-10-15,09,17
EICMOT,18403.15,18311.25,18370.00,18439.90,18270.00,18311.25,91.90,+0.50,89,09:19:09.000,25300.00,15196.95,2019-10-15 09:17:49,2019-10-15,09,17
GAIL,125.90,125.85,126.50,126.85,125.90,125.85,0.05,+0.04,3056,09:19:05.000,190.98,119.65,2019-10-15 09:17:49,2019-10-15,09,17
JSWSTE,220.20,221.50,221.05,221.05,219.35,221.50,-1.30,-0.59,4399,09:19:13.000,384.90,201.90,2019-10-15 09:17:49,2019-10-15,09,17
BHAINF,256.30,259.25,258.25,258.25,256.00,259.25,-2.95,-1.14,224,09:19:16.000,333.80,238.70,2019-10-15 09:17:49,2019-10-15,09,17
CIPLA,436.80,440.85,444.00,444.00,436.00,440.85,-4.05,-0.92,2461,09:19:18.000,651.95,389.55,2019-10-15 09:17:49,2019-10-15,09,17
TATMOT,126.35,127.80,127.50,127.50,125.85,127.80,-1.45,-1.13,122518,09:19:21.000,239.30,106.00,2019-10-15 09:17:49,2019-10-15,09,17
ZEEENT,240.50,242.55,237.95,241.25,236.30,242.55,-2.05,-0.85,17916,09:19:22.000,506.10,203.70,2019-10-15 09:17:49,2019-10-15,09,17
