NAME,LTP,DC,DO,DH,DL,PDC,DATE_TIME,DATE_TODAY,HOUR,MIN
MARUTI,6856.45,6819.55,6829,6873.9,6810,6819.55,2019-10-15 10:19:09,2019-10-15,10,19
INDBA,1254.85,1250.5,1251.55,1262.4,1237,1250.5,2019-10-15 10:19:09,2019-10-15,10,19
ASIPAI,1821,1797.65,1797,1824.15,1797,1797.65,2019-10-15 10:19:09,2019-10-15,10,19
BHAAIR,388.25,393.5,391.95,391.95,387.2,393.5,2019-10-15 10:19:09,2019-10-15,10,19
HCLTEC,1092.45,1087.05,1088.6,1099,1081.05,1087.05,2019-10-15 10:19:09,2019-10-15,10,19
TITIND,1263.45,1249.05,1251,1265,1251,1249.05,2019-10-15 10:19:09,2019-10-15,10,19
MAHMAH,571,568.5,570,572.1,565.5,568.5,2019-10-15 10:19:09,2019-10-15,10,19
BAFINS,8110.45,8073.45,8108.95,8131.45,8084.5,8073.45,2019-10-15 10:19:09,2019-10-15,10,19
NTPC,119.05,117.8,117.7,119.7,117.35,117.8,2019-10-15 10:19:09,2019-10-15,10,19
NESIND,14065,14174.1,14175,14175,14040,14174.1,2019-10-15 10:19:09,2019-10-15,10,19
POWGRI,200.65,198.45,198.8,200.8,198.45,198.45,2019-10-15 10:19:09,2019-10-15,10,19
ULTCEM,4185,4171.9,4121.35,4207.65,4121.35,4171.9,2019-10-15 10:19:09,2019-10-15,10,19
TECMAH,724.2,720.6,721,728,721,720.6,2019-10-15 10:19:09,2019-10-15,10,19
SUNPHA,396.35,394.6,397.25,400,394.9,394.6,2019-10-15 10:19:09,2019-10-15,10,19
ONGC,136,135.2,136.6,138,135.7,135.2,2019-10-15 10:19:09,2019-10-15,10,19
BAAUTO,2982,2956.05,2959,2983.9,2956.5,2956.05,2019-10-15 10:19:09,2019-10-15,10,19
BHARAS,5815,5767.35,5773.85,5827,5773.85,5767.35,2019-10-15 10:19:09,2019-10-15,10,19
INDOIL,147.85,144.8,145.95,148.3,145.2,144.8,2019-10-15 10:19:09,2019-10-15,10,19
COALIN,190.2,190.1,188.3,190.85,188.1,190.1,2019-10-15 10:19:09,2019-10-15,10,19
WIPRO,241.45,243.35,244,245.5,241,243.35,2019-10-15 10:19:09,2019-10-15,10,19
HERHON,2649,2609.25,2616.85,2650.4,2615,2609.25,2019-10-15 10:19:09,2019-10-15,10,19
BRIIND,3123.9,3107.2,3139.9,3154.2,3115.45,3107.2,2019-10-15 10:19:09,2019-10-15,10,19
UNIP,588.65,586.95,585.3,589.2,580.95,586.95,2019-10-15 10:19:09,2019-10-15,10,19
DRREDD,2672.3,2648.9,2663.1,2677.85,2659.8,2648.9,2019-10-15 10:19:09,2019-10-15,10,19
ADAPOR,410.05,406.95,409.5,411.7,407.6,406.95,2019-10-15 10:19:09,2019-10-15,10,19
GRASIM,698.75,698.65,699,699.6,691.95,698.65,2019-10-15 10:19:09,2019-10-15,10,19
VEDLIM,145.6,147.85,147.5,147.5,145.3,147.85,2019-10-15 10:19:09,2019-10-15,10,19
HINDAL,186.7,188.8,188,188,186.4,188.8,2019-10-15 10:19:09,2019-10-15,10,19
TATSTE,342,344.85,345.5,346.15,340.5,344.85,2019-10-15 10:19:09,2019-10-15,10,19
EICMOT,18755,18311.25,18370,18755,18270,18311.25,2019-10-15 10:19:09,2019-10-15,10,19
GAIL,126.3,125.85,126.5,126.85,125.85,125.85,2019-10-15 10:19:09,2019-10-15,10,19
JSWSTE,214.6,221.5,221.05,221.05,214.6,221.5,2019-10-15 10:19:09,2019-10-15,10,19
BHAINF,257.85,259.25,258.25,258.25,255.45,259.25,2019-10-15 10:19:09,2019-10-15,10,19
CIPLA,439.65,440.85,444,444.5,436,440.85,2019-10-15 10:19:09,2019-10-15,10,19
TATMOT,125.6,127.8,127.5,127.5,124.5,127.8,2019-10-15 10:19:09,2019-10-15,10,19
ZEEENT,242.65,242.55,237.95,244.35,234.85,242.55,2019-10-15 10:19:09,2019-10-15,10,19
YESBAN,40.5,40,41,41.4,40.05,40,2019-10-15 10:19:09,2019-10-15,10,19
BSESEN,38415.47,38214.47,38316.49,38443.34,38238.27,38214.47,2019-10-15 10:50:38,2019-10-15,10,50
HDFBAN,1216.45,1203.15,1210,1217.7,1207.3,1203.15,2019-10-15 10:50:38,2019-10-15,10,50
RELPET,131.5,130.85,129,132.4,127.9,130.85,2019-10-15 10:50:38,2019-10-15,10,50
HDFC,2021.45,2011.5,2013,2030.05,2013,2011.5,2019-10-15 10:50:38,2019-10-15,10,50
INFTEC,771.45,785.65,773.8,774.75,765,785.65,2019-10-15 10:50:38,2019-10-15,10,50
ICIBAN,431.15,428.6,430,433.2,428,428.6,2019-10-15 10:50:38,2019-10-15,10,50
ITC,247.15,244.2,247.4,247.55,245.1,244.2,2019-10-15 10:50:38,2019-10-15,10,50
TCS,2039,2020.95,2028.8,2046.9,2024.2,2020.95,2019-10-15 10:50:38,2019-10-15,10,50
KOTMAH,1611.35,1583.75,1586,1612.25,1577.8,1583.75,2019-10-15 10:50:38,2019-10-15,10,50
LARTOU,1442.35,1422.65,1427,1445.1,1421,1422.65,2019-10-15 10:50:38,2019-10-15,10,50
HINLEV,2045.85,2014.7,2052,2052.9,2026.75,2014.7,2019-10-15 10:50:38,2019-10-15,10,50
AXIBAN,685.1,683.55,683.65,690.35,681.8,683.55,2019-10-15 10:50:38,2019-10-15,10,50
STABAN,256.55,255.45,256.8,257.35,255.65,255.45,2019-10-15 10:50:38,2019-10-15,10,50
BAJFI,3886.15,3881.65,3909,3916.75,3880,3881.65,2019-10-15 10:50:38,2019-10-15,10,50
MARUTI,6906.1,6819.55,6829,6919,6810,6819.55,2019-10-15 10:50:38,2019-10-15,10,50
INDBA,1253.2,1250.5,1251.55,1262.4,1237,1250.5,2019-10-15 10:50:38,2019-10-15,10,50
ASIPAI,1818,1797.65,1797,1824.15,1797,1797.65,2019-10-15 10:50:38,2019-10-15,10,50
BHAAIR,385.7,393.5,391.95,391.95,385.4,393.5,2019-10-15 10:50:38,2019-10-15,10,50
HCLTEC,1089.7,1087.05,1088.6,1099,1081.05,1087.05,2019-10-15 10:50:38,2019-10-15,10,50
TITIND,1262.35,1249.05,1251,1265,1251,1249.05,2019-10-15 10:50:38,2019-10-15,10,50
MAHMAH,574.1,568.5,570,574.8,565.5,568.5,2019-10-15 10:50:38,2019-10-15,10,50
BAFINS,8100,8073.45,8108.95,8131.45,8084.5,8073.45,2019-10-15 10:50:38,2019-10-15,10,50
NTPC,118.95,117.8,117.7,119.7,117.35,117.8,2019-10-15 10:50:38,2019-10-15,10,50
NESIND,14057,14174.1,14175,14175,14040,14174.1,2019-10-15 10:50:38,2019-10-15,10,50
POWGRI,200.5,198.45,198.8,200.8,198.45,198.45,2019-10-15 10:50:38,2019-10-15,10,50
ULTCEM,4159,4171.9,4121.35,4207.65,4121.35,4171.9,2019-10-15 10:50:38,2019-10-15,10,50
TECMAH,723.5,720.6,721,728,721,720.6,2019-10-15 10:50:38,2019-10-15,10,50
SUNPHA,396,394.6,397.25,400,394.9,394.6,2019-10-15 10:50:38,2019-10-15,10,50
ONGC,136.1,135.2,136.6,138,135.4,135.2,2019-10-15 10:50:38,2019-10-15,10,50
BAAUTO,2976.2,2956.05,2959,2987,2956.5,2956.05,2019-10-15 10:50:38,2019-10-15,10,50
